Id,Sentence,Explain,Created at,Updated at
1972,真怀念那时候我们在广东充气娃娃厂上班的日子，那时候我装胳膊，你装逼。整个车间就你逼装的最好，你还是检测员,,2022-08-27 23:26:52 UTC,2022-08-27 23:26:52 UTC
1971,我出生后整整一年没有和父母说过话。,,2022-06-11 15:43:37 UTC,2022-06-11 15:43:37 UTC
1970,没想到我这么敢p，你更厉害还敢看。,,2022-06-07 15:27:09 UTC,2022-06-07 15:27:09 UTC
1969,整日清醒克制又有什么用？,,2022-06-07 15:26:42 UTC,2022-06-07 15:26:42 UTC
1968,生活挺不容易的，相互哄一哄，骗一骗吧。,,2022-06-07 15:25:41 UTC,2022-06-07 15:25:41 UTC
1967,我妈问我怎么在卫生间那么久都不出来，我没敢告诉她我路过镜子时被自己迷住了。,,2022-06-07 15:25:20 UTC,2022-06-07 15:25:20 UTC
1966,"食人族酋长吩咐手下说：“你去抓几个达官贵人来当晚餐。”
手下问：“平民百姓不行吗？”
“味道不行，”食人族酋长摇摇头，“老百姓太苦了。” ​​​",,2022-05-07 09:27:49 UTC,2022-05-07 09:27:49 UTC
1965,"多操喜欢的人
少操没用的心",,2022-04-21 01:50:22 UTC,2022-04-21 01:50:22 UTC
1964,人，要么孤独，要么庸俗。,,2022-03-30 03:38:30 UTC,2022-03-30 03:38:30 UTC
1963,钱都流向了不缺钱的人，爱都流向了不缺爱的人，苦都流向了能吃苦的人。,,2022-03-17 15:45:01 UTC,2022-03-17 15:45:01 UTC
1962,"一日，辗转反侧，夜不能寐，遂发短信给闺蜜：“郁闷中，陪我聊会儿吧。
闺蜜：“好吧，想聊什么？
我：“聊点沉重的话题吧，比如说--你的体重！
一阵沉默过后，闺蜜回道：“这也太沉重了吧，还是聊点肤浅的吧，比如说--你的智商！",,2022-02-22 11:25:53 UTC,2022-02-22 11:25:53 UTC
1961,工作是靠劳动换取报酬，只有摸鱼才是真正的赚钱,,2022-02-16 07:10:10 UTC,2022-02-16 07:10:10 UTC
1960,"男：我有一个梦想，开名车，住豪宅，坐拥金钱无数，就像我爸爸那样……
女：你爸是土豪？
男：我爸也是这个梦想。",,2022-02-15 00:56:08 UTC,2022-02-15 00:56:08 UTC
1959,"如果用你三年寿命你会换什么？
“我会用三年寿命换二十年寿命”
阎王：你搁我这卡bug呢！",,2022-02-15 00:55:05 UTC,2022-02-15 00:55:05 UTC
1958,"神出现在我面前问我：“想不想少奋斗十年？”
我连忙说：“想。”
神点点头，拿出生死簿给我减了十岁",,2022-02-15 00:52:47 UTC,2022-02-15 00:52:47 UTC
1957,悲观者往往正确，乐观者往往成功,,2022-02-11 01:18:00 UTC,2022-02-11 01:18:00 UTC
1956,"贫穷就像口罩，遮住了我的笑容，却遮不住我的眼泪。

",,2022-02-10 09:21:12 UTC,2022-02-10 09:21:12 UTC
1955,当你摔倒却没有任何人笑你时，你就知道你老了。,,2022-02-10 09:20:55 UTC,2022-02-10 09:20:55 UTC
1954,这些年我一直提醒自己一件事情，千万不要自己感动自己。大部分人看似的努力，不过是愚蠢导致的。,,2022-02-10 09:19:51 UTC,2022-02-10 09:19:51 UTC
1953,愚昧成为主流，清醒就是犯罪,,2022-02-10 09:19:19 UTC,2022-02-10 09:19:19 UTC
1952,不是钱买不到快乐，是你那点钱买不到快乐。,,2022-02-10 09:18:55 UTC,2022-02-10 09:18:55 UTC
1951,人们把少年的勇气当做叛逆，把成年人的懦弱当做顾全大局。,,2022-02-10 09:18:43 UTC,2022-02-10 09:18:43 UTC
1950,不要试图鹤立鸡群，离开那群鸡。,,2022-02-10 09:18:26 UTC,2022-02-10 09:18:26 UTC
1949,关系不到位 千万不要批评对方,,2022-02-10 09:18:06 UTC,2022-02-10 09:18:06 UTC
1948,我见过的人越多，我就越喜欢狗。,,2022-02-10 09:17:46 UTC,2022-02-10 09:17:46 UTC
1947,突然发现，我对自己未来的所有计划都有同一个开头：等我有了钱。,,2022-02-10 09:16:27 UTC,2022-02-10 09:16:27 UTC
1946,自己的失败固然可怕，但朋友的成功更令人揪心。,,2022-02-10 09:16:10 UTC,2022-02-10 09:16:10 UTC
1945,表白就要一步到位，小哥哥，合葬吗？,,2022-02-07 06:14:44 UTC,2022-02-07 06:14:44 UTC
1944,你身上有她的香水味，一闻就没我的贵。,,2022-02-07 06:06:41 UTC,2022-02-07 06:06:41 UTC
1943,你要离开我吗？别走好吗？跑起来！,,2022-02-07 06:02:30 UTC,2022-02-07 06:02:30 UTC
1942,表白就要一步到位，小哥哥，合葬吗？,,2022-02-07 05:59:35 UTC,2022-02-07 05:59:35 UTC
1941,彼此说话客气点，我没你想的那么善解人意。,,2022-02-07 05:58:42 UTC,2022-02-07 05:58:42 UTC
1940,"我还是忘不了你,看到路边的垃圾桶就想起你。",,2022-02-07 05:57:36 UTC,2022-02-07 05:57:36 UTC
1939,姐妹们，我好像得了不治之症，就是闭上眼睛后眼前一片漆黑什么也看不见，我该怎么办,,2022-01-20 07:44:17 UTC,2022-01-20 07:44:17 UTC
1938,不行就互删吧，我一边喂猪一边等你消息，时间太漫长了，我总是安慰自己说村里信号不好，今年村子建5G基站，我再也骗不了自己了。,,2022-01-20 07:43:49 UTC,2022-01-20 07:43:49 UTC
1937,你们都只看到我每天吃吃吃，我减肥的时候一跑就是20公里，你们都没有看到，因为我也确实没跑过,,2022-01-20 07:38:25 UTC,2022-01-20 07:38:25 UTC
1936,快过年了 我也并不是一无所有 我起码还有脸回家,,2022-01-20 07:37:25 UTC,2022-01-20 07:37:25 UTC
1935,"同龄人：立大志 明大德 成大才 担大任
我本人：无大语 离大谱 摆大烂 破大防",,2022-01-20 07:36:31 UTC,2022-01-20 07:36:31 UTC
1934,你要记住，你通过认真工作换来的工资那叫报酬，摸鱼得来的钱才是你赚的,,2022-01-20 07:36:14 UTC,2022-01-20 07:36:14 UTC
1933,"上班和行乞的区别:
乞讨: 哎行行好
上班: 哎，行，行，好",,2021-11-10 07:35:54 UTC,2021-11-10 07:35:54 UTC
1932,我好喜欢小动物，比如炸鸡烤鸭水煮鱼,,2021-10-16 10:39:31 UTC,2021-10-16 10:39:31 UTC
1931,见到你的第一眼就知道，你是一只难养的猪,,2021-10-16 10:39:14 UTC,2021-10-16 10:39:14 UTC
1930,所有人都关心我飞得高不高， 只有我妈关心我翅膀硬不硬,,2021-10-16 10:37:52 UTC,2021-10-16 10:37:52 UTC
1929,这个天气挺尬的 ，不开空调又热 ，开的话还得去买一台,,2021-10-16 10:37:29 UTC,2021-10-16 10:37:29 UTC
1928,18岁已经经济独立，刚全款买了一瓶可乐,,2021-10-16 10:36:59 UTC,2021-10-16 10:36:59 UTC
1927,"我问他怎么不回我消息，他说感冒了怕传染给我，真的好贴心

",,2021-10-16 10:36:34 UTC,2021-10-16 10:36:34 UTC
1926,不要再问我为什么不恋爱了，你为什么不上清华，是因为不想吗？,,2021-10-16 10:35:57 UTC,2021-10-16 10:35:57 UTC
1925,刚刚被邻居举报扰民了，因为我穷的叮当响,,2021-10-16 10:35:27 UTC,2021-10-16 10:35:27 UTC
1924,生如蝼蚁，当立鸿鹄之志；命如纸薄，应有不屈之心,,2021-09-01 04:21:11 UTC,2021-09-01 04:21:11 UTC
1923,听君一席话，胜听一席话,,2021-08-23 10:05:10 UTC,2021-08-23 10:05:10 UTC
1922,听君一席话，浪费十分钟,,2021-08-23 10:04:57 UTC,2021-08-23 10:04:57 UTC
1921,在印度，每60秒，时间就过去了一分钟。,,2021-08-17 06:45:37 UTC,2021-08-17 06:45:37 UTC
1920,咱们南翔如果不踏踏实实学本领，那跟北大清华有什么区别？,,2021-08-15 01:13:46 UTC,2021-08-15 01:13:46 UTC
1919,笑死，上不了清华难道是因为不想吗？,,2021-08-15 01:12:21 UTC,2021-08-15 01:12:21 UTC
1918,"很多通信人问我通信工程师难不难考，
统一回复下:

通信工程师其实十分简单，
只是那剩下的90分特别难",,2021-08-12 11:19:17 UTC,2021-08-12 11:19:17 UTC
